Nama Brand,Nama Produk,Harga,Gambar
GLXSSY BEAUTE,Honey Silk Gloss,103500,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2F1%2F_%2F1._product_shot_-_berry_sorbet_1.jpg&w=3840&q=75
GLXSSY BEAUTE,Souffle Satin Stain,98100,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fc%2Fo%2Fcopy_of_cat_classic_1__1.jpg&w=3840&q=75
ESQA,Flawless Cushion Serum SPF 50+ PA+++ Satin,156000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fs%2Fesq-bcc-00059.001_14.png&w=3840&q=75
ESQA,Minimalist Blurring Serum Skin Tint SPF 35 PA++,118300,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fs%2Fesq-fou-00060.001_13.png&w=3840&q=75
LUXCRIME,Instant Cover Hydralight Concealer,75650,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fc%2Fo%2Fcopy_of_page_3_2.jpg&w=3840&q=75
SOMETHINC,Ceraplump Tinted Lip Balm SPF25 PA++++,98000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fc%2Fe%2Fcera_pdp_1.jpg&w=3840&q=75
SOMETHINC,The Marionette Eyeshadow Palette - Vol.2,149000,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fd%2Fpdp-marionette-whitebg-vol2.jpg&w=3840&q=75
LUXCRIME,2in1 Breathable Color Stay: Foundation + Concealer,109850,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
SOMETHINC,Copy Paste Tinted Sunscreen SPF 40 PA++++ 50ml,179000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
ROSE ALL DAY,The Powerpuff Girls Lip Sparkle,80100,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
ROSE ALL DAY,The Powerpuff Girls Hyper-Length Mascara,129000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
MAD FOR MAKEUP,Spotless+ Acne Concealer,96750,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fs%2Fp%2Fspotless_acne_concealer_-_n2_cashew-min_1.png&w=3840&q=75
MAD FOR MAKEUP,#GlassNotGloss 6Hr Stain Gloss Balm Ink Like Air Glasstick,104250,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fi%2Fn%2Fink_-_pink_plastic-min_1_1_1.png&w=3840&q=75
MAD FOR MAKEUP,MAD x Mean Girls Individual 2IN1 Powder to Butter Blush,66750,/_next/image?url=https%3A%2F%2Fmagento.femaledaily.com%2Fmedia%2Fcatalog%2Fproduct%2Fm%2Fa%2Fmad_blush_132.jpg&w=3840&q=75
